case_number,category_1,category_2,category_3,granular_cluster_id,parent_cluster_id
9997706,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9997725,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9997732,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9997749,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9997759,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Eligibility Criteria - Grant,2,1
9997764,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,6,1
9997768,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9997780,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,2,1
9997781,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - New,1,1
9997791,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9998885,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9997800,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9997803,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,4,1
9997805,"Training Programmes, Training Systems and Advisory Services",SkillsFuture Work-Study Programme (WSP),"Guidelines, Processes and Timeline - Application",13,1
9997808,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,4,1
9997823,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9997836,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9997840,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9997847,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9997866,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9997867,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,1,1
9997870,Divisional Matters,WSG Divisional Matters,New Operations Division (NOD) - Others,1,1
9997874,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9997875,Employment Assistance and Career Services,Career Advisory and Coaching,Career Services - Others,3,1
9997900,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,2,1
9997914,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9997917,"Grants, Awards and Funding Programmes or Systems",Course Funding Framework,Policies,12,1
9997921,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9997928,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,3,1
9997929,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9997938,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9997939,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9997942,WSG Programmes and Initiatives,Career Conversion Programme,Healthcare and Social Services,4,1
9997955,Regulations,Skills Development Levy (SDL),"Guidelines, Processes and Timeline",6,1
9997973,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,6,1
9998003,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Purpose and Objective,3,1
9998024,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,6,1
9998031,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
9998055,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Course Application",5,1
9998077,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,1,1
9998078,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9998085,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9998087,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9998088,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,11,1
9998092,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,10,1
9998099,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Requests - Manual Qualification/Transcript status,5,1
9998110,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9998116,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,6,1
9998153,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,5,1
9998195,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",2,1
9998211,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9998212,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,8,1
9998231,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,13,1
9998249,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9998251,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9998259,"Grants, Awards and Funding Programmes or Systems",TPGateway - NCSS,"Guidelines, Processes and Timeline - Enrolment",4,1
9998274,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9998277,"Grants, Awards and Funding Programmes or Systems",TPGateway - NCSS,Technical Support,3,1
9998280,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9998303,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,13,1
10019269,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,13,1
9998305,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9998308,Regulations,Skills Development Levy (SDL),Refund,12,1
9998319,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Enterprise Credit (SFEC),"Guidelines, Processes and Timeline - Disbursement",11,1
9998339,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9998356,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",13,1
9998373,Divisional Matters,SSG Divisional Matters,Quality Management Division (QMD) - Others,7,1
9998382,"Grants, Awards and Funding Programmes or Systems",Enhanced Training Support for SMEs (ETSS),Eligibility Criteria,1,1
9998393,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",1,1
9998394,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9998396,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),"Guidelines, Processes and Timeline",3,1
9998401,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9998412,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9998421,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9998430,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9998433,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,4,1
9998443,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,3,1
9998445,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9998472,Regulations,Skills Development Levy (SDL),Refund,4,1
9998478,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,7,1
9998495,Regulations,Skills Development Levy (SDL),Refund,4,1
9998502,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture - Student Portal,Technical Support - Student Portal,3,1
9998505,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - e-Cert,13,1
9998507,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9998549,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9998573,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9998579,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",4,1
9998585,"Training Programmes, Training Systems and Advisory Services",Singapore Workforce Skills Qualifications (WSQ),Feedback on course quality or breach of marketing guidelines,3,1
9998588,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,13,1
9998590,WSG Programmes and Initiatives,MyCareersFuture,Job scams,4,1
9998597,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,6,1
9998599,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,9,1
9998616,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9998631,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Edit Backdated Course Runs and Sessions,6,1
9998636,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,11,1
9998658,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Organisation Registration,4,1
9998673,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - GIRO matters,11,1
9998709,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,4,1
9998711,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Eligibility Criteria,1,1
9998721,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9998733,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9998769,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,6,1
9998796,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,3,1
9998827,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9998870,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,5,1
9998894,WSG Programmes and Initiatives,Career Conversion Programme,Healthcare and Social Services,4,1
9998922,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",12,1
9998965,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9999021,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9999078,Employment Assistance and Career Services,Career Advisory and Coaching,Career Services - Others,13,1
9999083,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9999119,Regulations,CPE & Private Education Act/ Institutions,Purpose and Objective - Enhanced Registration Framework (ERF),3,1
9999120,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,12,1
9999150,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9999155,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9999175,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9999199,WSG Programmes and Initiatives,MyCareersFuture,Work Pass Related Matters,13,1
9999215,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9999218,WSG Programmes and Initiatives,Part Time Re-Employment Grant,Processes - Application,5,1
9999230,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for SME Funding,7,1
9999235,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,9,1
9999240,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,2,1
9999274,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,4,1
9999278,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,3,1
9999325,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,5,1
9999337,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9999349,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,2,1
9999373,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,2,1
9999393,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9999406,WSG Programmes and Initiatives,MyCareersFuture,Technical Support - Others,1,1
9999438,"Training Programmes, Training Systems and Advisory Services",Course Applications,"Requests - Feedback on quality about courses, trainer or assessor",3,1
9999456,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9999466,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Purpose and Objective - Website contents,3,1
9999496,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9999508,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Enterprise Credit (SFEC),Requests - Claims status,1,1
9999511,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9999532,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9999556,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,5,1
9999564,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,4,1
9999594,WSG Programmes and Initiatives,MyCareersFuture,Technical Support - Job postings,1,1
9999601,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9999608,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10006611,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10015082,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10016142,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10018985,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10020393,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9999654,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9999671,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9999681,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9999716,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
9999735,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,3,1
9999739,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,3,1
9999781,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9999833,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
9999856,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,7,1
9999886,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,4,1
9999976,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,3,1
9999979,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Edit or Cancellation,12,1
9999984,"Grants, Awards and Funding Programmes or Systems",Funding Policies,Funding Policies,4,1
9999989,Employment Assistance and Career Services,Career Advisory and Coaching,Careers Connect,4,1
10000012,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Appeal - whitelisted standalone exams/overseas courses - GRS,13,1
10000036,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
10000045,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,13,1
10000058,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Technical Support,12,1
10000123,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10000145,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,9,1
10000163,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,7,1
10000165,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Edit Backdated Course Runs and Sessions,9,1
10000234,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Purpose and objective - Attendance,8,1
10000260,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
10000293,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,3,1
10000324,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,4,1
10000337,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,7,1
10000358,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,5,1
10000399,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",6,1
10000521,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10000744,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,2,1
10000874,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10000920,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
10000930,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10000962,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10001032,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10001093,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,9,1
10001100,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,6,1
10001137,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",4,1
10001250,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
10001305,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",3,1
10001367,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,3,1
10001381,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
10001397,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10010577,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10010583,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10018170,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10018181,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10019965,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10001443,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,3,1
10001467,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,9,1
10001578,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
10001613,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10001639,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,13,1
10001724,Regulations,Skills Development Levy (SDL),Payment,9,1
10001737,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,4,1
10001750,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
10001773,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,4,1
10001802,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,4,1
10001836,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
10001846,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,3,1
10001877,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
10001907,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Refund Management",4,1
10001915,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Technical Support,Technical Support,13,1
10001924,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
10002062,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
10002101,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
10002114,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10002152,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
10002192,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,6,1
10002315,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,7,1
10002332,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,2,1
10002337,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
10002384,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,6,1
10002396,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
10002538,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,3,1
10002545,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Course Application",4,1
10002591,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10002637,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10002663,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,6,1
10002851,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
10002881,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,7,1
10002885,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,7,1
10002930,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
10002938,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,6,1
10002970,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
10003178,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
10003180,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,9,1
10003212,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10003260,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Organisation Registration",10,1
10003287,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,1,1
10003304,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,7,1
10003335,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,1,1
10003414,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Technical Support,5,1
10003452,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
10003476,Divisional Matters,SSG Divisional Matters,Enforcement & Compliance Division (ECD) - Others,5,1
10003528,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
10003562,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
10003596,Employment Assistance and Career Services,Workshops and Career Fairs,Programme Information,6,1
10003624,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Enterprise Credit (SFEC),"Guidelines, Processes and timeline - Submit Claims",9,1
10003632,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - e-Cert,7,1
10003735,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - GIRO matters,13,1
10003783,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,1,1
10003794,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,9,1
10003884,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Organisation Registration,6,1
10004026,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",5,1
10004074,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10004087,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,4,1
10004102,"Grants, Awards and Funding Programmes or Systems",Course Fee Funding Support,Purpose and Objective - Non-WSQ,8,1
10004148,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
10004234,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,9,1
10004427,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Requests - Manual Qualification/Transcript status,1,1
10004437,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10004466,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,12,1
10004836,"Grants, Awards and Funding Programmes or Systems",Course Fee Funding Support,Purpose and Objective - Non-WSQ,1,1
10004903,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,9,1
10004908,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
10004959,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
10004973,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
10005046,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,12,1
10005117,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Edit or Cancellation,3,1
10005259,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Edit or Cancellation,11,1
10005508,Employment Assistance and Career Services,Workshops and Career Fairs,Processes - Registration,5,1
10005543,"Grants, Awards and Funding Programmes or Systems",TPGateway - NCSS,Technical Support,8,1
10005550,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - Skills Passport,9,1
10005592,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,"Guidelines, Processes and Timeline - Claim for SkillsFuture Credit (SFC)",4,1
10005747,Regulations,CPE & Private Education Act/ Institutions,Eligibility Criteria - EduTrust Certification Scheme,5,1
10005869,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Requests - Manual Qualification/Transcript status,1,1
10006087,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Appeal for Late Claim,13,1
10006203,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Edit or Cancellation,13,1
10006236,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,1,1
10006399,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,11,1
10006472,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,5,1
