subject,predicate,object
Customer,inquired_about,refund due to double payment
System,checked_and_functioning,well
WiFi,checked_and_functioning,well
QR code appearance,is,brief
QR code,malfunctioned,affecting candidate check-ins
Manual attendance,was_used_for,candidate check-ins
Customer,inquired_about,content of Workfare Skills Support letter
Customer,received,Workfare Skills Support letter
System error,causes,inability to scan QR code
Attendee,had_successful,morning attendance
Attendee,requests_assistance_to,troubleshoot the issue
Attendee,unable_to_scan,QR code for afternoon session
Customer,inquires_about,course fee displayed on MySkillsFuture
Customer,questions,if displayed amount is required payment
SkillsFuture Credits claim,found_as,still active
Customer,reports_difficulty_contacting,the training provider
Customer,requested_cancellation_of,SkillsFuture Credits claim
Customer,unable_to_attend,course due to medical reasons
Customer,inquired_about,full and net fees for an NUS course
Payment,requirement_specification,if payment must be made in cash
Payment,under,SkillsFuture credit
Customer,unable_to_connect_to,scheduled video coaching appointment
Customer,completed,PSM I certification
Customer,seeks_to_claim,exam fees using SkillsFuture Credits
Customer,received_reminder_for,outstanding amount
Customer,requests_update_of_records_by,Finance team
Aestheticar Pte Ltd,queries,delayed grant payment for a Food Safety Course
Aestheticar Pte Ltd,requests_expedited_resolution_for,outstanding amount overdue for over 8 months
Customer,experienced,system loading issues when submitting a SkillsFuture Credit claim
Issue,forwarded_to,IT team
Customer,reported_receiving,excessive emails related to case updates
Customer,reports_payment_of,Skills Development Levy for Edward Lee Apartments Pte Ltd
Appellant,appeals_for,grant funding
Appellant,appeals_to_enroll,trainee for a course in Security Operation Compliance
Trainee and grant funding,overlooked_in,Training Provider Gateway platform
User,encounters_errors,'save fail' when editing session details
Editing session details,includes,adding or modifying trainer's name and other session information
Temporary workaround,involves,removing trainer's name to save changes
Training Provider Gateway,add_sessions_for,10 Oct and 26 Oct
Course session dates,changed,need to update Training Provider Gateway
Training Provider Gateway,remove_sessions_for,23 Oct and 30 Oct
Customer,inquires_about,e-attendance for an in-house course
Senior attendees,lack,smartphones
Senior attendees,unable_to_use,digital attendance scanning
Customer,inquires_about,using PayNow to settle outstanding Skills Development Levy payment
Mandarin-speaking customer,cannot_communicate_in,simple English
Mandarin-speaking customer,inquires_about,courses
Payment,indicated_in,Notice of Assessment for WEI NI
Customer,cites,long processing times
Customer,inquires_about,rejected amendment for a Career Trial application
Customer,requests_approval_for,new application urgently
incorrect eAttendance,due_to,Singpass QR code issues
Appeal,for,incorrect eAttendance
Singpass QR code issues,in,Work-Study Programme course
Work-Study Programme course,leads_to,Diploma in Infocomm and Digital Media
Customer,requested_check_on,SkillsFuture Credit balance
Customer,requested_check_on,transaction history
Customer,received,reminder for Skills Development Levy YA2023 assessment
Customer,reported,Notice of Objection submitted by colleague
Customer,requests,breakdown and details for specific Training Grant claims
Company,cites_adherence_to,Central Provident Fund rules
Company,denies,negligence
Company,questions,repeated discrepancies
Company,received,Notice of Assessment for Skills Development Levy
Customer,did_not_receive,first Notice of Assessment for Skills Development Levy YA23
Customer,is_requesting,a copy of the notice
Company,hires,NUNS who do not withdraw salary
Customer,objects_to,Skills Development Levy for YA2023
Reminder letter,for,Skills Development Levy for the year 2023
Customer,makes_enquiry_about,payment following a reminder letter
Customer,aims_to_avoid,outstanding issues
Customer,requests,address update
Customer,seeks_confirmation_of,past payments
Course grants,rejected_despite,course completion
Customer,requests,prompt attention
Customer,seeks_clarification_for,course grants rejected with historical dates from 2020 to 2022
Customer,seeks_recovery_guidance_for,rejected course grants
Customer,completed,two courses
Customer,inquires_about_eligibility_for,Training Commitment Award and Training Allowance
Customer,is_a_recipient_of,Workfare Skills Support
Customer,inquires_about,sending appeals for Absentee Payroll past the deadline
Customer,inquires_about,required documents for appeals
Customer,notes_discrepancies_in,estimated vs. disbursed amounts
Reason,due_to,unavailable work permit card
Issue,impacts,course run attendance recording
Request,to_manually_record,attendance for a trainee
Trainee,unable_to_use,SingPass
Review button,is_inactive_after,entering payment details and uploading invoice
Action,related_to,a course
Rejection,occurred_without,prompt or notification for submission on the Enterprise Jobs and Skills Portal
Customer,requests_clarification_and_assistance_for,Absentee Payroll Funding rejection
Absentee Payroll Funding,was_rejected_for,a candidate
Unavailable QR code,affects,synchronous face-to-face class attendance record
Students in Course Run ID,could_not_register,attendance
QR code,unavailable,post-session
Trainees,appeal_to_count,attendance with provided physical records as proof
Result,is,unrecorded full attendance
Unrecorded full attendance,result_of,inability to use Singpass e-attendance
Issue,results_in,unrecorded full attendance
Appeal,to_count,attendance with physical records as proof
Trainees,unable_to_use,Singpass e-attendance at course start
Inquirer,inquires_about,training grant status for two trainees
Inquirer,requests,prompt response
Learner's attendance scan,failed_due_to,error with the SingPass App
Customer,asks_about,applicability of penalty charges
Customer,inquires_about_confirmation_of,Skills Development Levy payment made via PayNow
Customer,inquires_about,necessary corppass access to file a Notice of Objection online
Notice of Objection,related_to,Skills Development Levy YA2023
Trainee,attended_and_scanned,e-attendance via SingPass
Customer,reports_error_in,attendance record for a trainee
Customer,requests_update_to,reflect confirmed attendance
Trigon International (S) Pte Ltd,updated,Skills Development Levy payment status
Session,of,Digital Transformation course
Appeal,to_rectify,missing e-attendance
Learner,unable_to,scan QR code during a session
Learner,was_present_during,session
Two students,enrolled_in,specialist diploma course on AI
Two students,unable_to_submit,attendance after scanning the QR code
Customer,requested,coaching appointment through CMS
Coaching appointment,to_assist_with,employment search
Customer,experienced,poor call quality
Job post,located_on,MyCareersFuture
Customer,seeks_clarification_on,whether a closed job post can be reposted
Job post,status,closed
Manual attendance submission,is_for,receiving SkillsFuture Singapore funding
Request,to_submit,"manual attendance for funding-eligible, employer-sponsored trainees under 15 without SingPass access"
Call,was_dropped,while engaged
Customer,inquired_about,how the levy is calculated
Reason for cancellation,due_to,rescheduling of her course date
Trainees,attended,Bizsafe Level 2 course
Attendance,incorrectly_shown_as,manually pushed
Trainees,scanned_E-Attendance_via,Singpass App
Customer,after_attempts,previous attempts and messages yielded no response
Customer,regarding,alternative payment for Skills Development Levy 2023
Customer,requests_urgent_contact_from,"Overall in Charge, Valli"
Customer,cites_reason_for_request,ineligibility for funding
Customer,holds_roles,director and employee
Waiver approval,is_subject_to,agency criteria and procedures
Customer,requested,waiver for the Skills Development Levy
Person,attended_according_to,hardcopy records
Person,failed_to_sign_in_for,session in Suicide Loss: Post-Crisis Management course
Payment,lacks,reference number
Payment,made_with_method,PayNow
Customer,requests_assistance_to,trace the payment
Attendance confirmation,is_attached_for,class
Class,on,growing organic culinary herbs
Attendee,unable_to_mark_attendance_with,SingPass
Attendee,used_successfully,online claim
Absentee Payroll grants,for,two cancelled courses
Courses cancellation,impacts_enrollees,NG SIOW SEE and BAYBEE
Customer,queries_rejection_of,Absentee Payroll grants
Clarification,needed_on,correct assessment status
Assessment status in Grant Tile,shows,Fail
Assessment status in Manage Assessment,shows,Pass
Assessment status for a trainee,shows_discrepancy_between,Grant Tile and Manage Assessment
Training Allowance disbursement,for,two specific courses
Workfare Skills Support recipient,inquires_about,timing of Training Allowance disbursement
Customer,received,Skills Development Levy Notice at old address
Customer,requests_update_to_reflect,new mailing address
Customer,updated_address_through,ACRA
Appeal,requests,manual submission approval with attached evidence
Appeal,submitted_for,multiple trainees unable to use Singpass for e-attendance due to app errors
Customer,action_triggered_by,receiving a reminder letter
One employee,located_in,overseas
One employee,located_in,Singapore
Customer,queries,Skills Development Levy Notice of Assessment for two employees
Customer,states,did not contact SkillsFuture Singapore
Customer,inquires_about,changing the course administrator
Previous administrator,left,the company
Course administrator,listed_in,course directory
Hawker store,has_employees,two local employees with CPF contributions
Hawker store,has_foreign_employees,no foreign employees
Customer,needs_assistance_without,Corppass access
Customer,objects_to,Skills Development Levy charge for mother-in-law's hawker store
Customer,confirmed_payment_made_via,Central Provident Fund EZ-Pay
Customer,received_notice_to_pay,Skills Development Levy for YA2023
Error message,indicates,no available session for course run
Customer,unable_to_retrieve,QR code for E-attendance
Customer,inquiring_about,payment confirmation for the Skills Development Levy
Customer,receives,reminder notice
Customer,states_payment_made,prior to the notice
Attendance upload,for_date,"November 4, 2023"
Requester,requests_appeal_for,upload attendance for SkillsFuture Singapore e-attendance
QR codes,for_sessions_on,a specific date
System failure,prevented_generation_of,QR codes for AM and PM sessions
Request,to_manually_update,attendance for a course
Customer,lacks,Notice of Assessment
Customer,recently_joined,the company
Customer,requests,breakdown for 2022 before payment
QR code scanning,intended_for,capturing attendance
Trainees,unable_to,scan QR code
Trainee,could_not_scan_in_due_to,device or Singpass app issues
Issue,occurred_during,the last Synchronous e-learning session
Appeal,to_submit,e-attendance for a trainee
Notice of Assessment,for,YA2023
Customer,requests,breakdown of the amount listed in the Skills Development Levy Notice of Assessment
Learners,enrolled_due_to,system error post-training
Assistance,requested_to,generate grants for learners
Learners,scanned,attendance QR codes
Payment proof submission,intended_for,service portal
Customer,is_unable_to_submit,payment proof for Skills Development Levy YA2023
Customer,seeks,alternative methods for submission
Customer,inquires_about,registering as a Training Provider for non-certifiable courses
Customer,seeks_clarification_on,Workplace Skills Qualification versus Non-Workplace Skills Qualification
Customer,inquiring_about,details of disbursements
Disbursements,made_on,27-Jul
Disbursements,via,PayNow
Trainee,has_not_provided,error screenshot
Trainee,requests_permission_for,upload manual attendance
Trainee,unable_to,scan e-attendance due to password issue
Request,for,investigation and resolution
Two trainees,have_not_received,their grants for a course run
Others,have_received,their grants for the same course run
Loading issues,include,frequent forced SingPass logins
User,reports,persistent loading issues on the SkillsFuture Singapore claim submission page
Funding amount changes,causes_confusion,post-course completion
Funding amount changes,causes_discrepancies_with,approved course hours
Funding amount changes,excluded,assessment hours for in-house trainees only
Clarification,requested_from,SkillsFuture Singapore
Customer,made,multiple inquiries
Customer,seeks_update_on,2017 case regarding the refund of SkillsFuture Credit
2017 case,status,still under investigation
Customer,inquires_about,paying the Skills Development Levy for YA2023 by cheque
Objection,causes,distress
Objection,related_to,Skills Development Levy for an exempted personal chauffeur
Customer,reports,unsuccessful phone contact attempts
Customer,requests_resolution_and_communication,via email
Customer,inquired_about,obtaining the link for the Career Ignite event
Customer,questioned,if link can be traced online
Career Ignite event,scheduled_for,today at 10am
Inquirer,awaits,response
Inquirer,inquires_about,applying SkillsFuture Enterprise Credit for enrolling staff in an attached course
Customer,forgets,training provider's name
Customer,forgets,training provider's UEN
Customer with FIN number,unable_to_retrieve,e-Cert for Food Safety and Hygiene-1
Payment advice,available_for,review
Customer from GEOMATE POSITIONING PTE. LTD.,requests_confirmation_of,payment made to SkillsFuture Singapore
Funding,not_received_for,two learners from a specific Run ID
Relevant enrolment information,provided_for,review
Customer,requests_assistance_to,rectify the issue
Tahseen Gani,had_issues_with,scanning e-attendance
Tahseen Gani,requests_certification_for,full-day attendance despite earlier issues
Tahseen Gani,resolved_issues_by,afternoon
Customer,requests_follow-up_on,previous case
Customer,states_urgency_due_to,no response from the officer in charge
Customer,inquires_about,required supporting documents for a SkillsFuture Credits claim
Attendance upload,for_date,"November 5, 2023"
Requester,requests_appeal_for,permission to upload attendance
Attendance upload,under,SkillsFuture Singapore e-attendance
Reasons,provided_in,an attached Excel file
Commitment,stated_to,improve internal operations
Appeal,submitted_for,missing E-attendance in 5 course schedules
Increased subsidies,due_to,"mandatory training requirements, high costs, and reliance on manpower"
Appeal,for,increased subsidies for foreigners
Foreigners,in_industry,Pet Care and Management
Employer,inquiring_about,reason for the outstanding amount
Workshop,held_without,wifi due to security reasons
Physical attendance,signed_and,documentation attached
Request,to_submit,e-attendance for a workshop
Customer,unable_to_receive,Training Commitment Award
Full qualification,ungenerated,despite completing 7 modules in various security training systems
Trainee,attended,make-up course online
Appeal,to_include_attendance_for,trainee who missed class due to illness
Workshop participant,could_not_sign_in_to,e-attendance due to lack of mobile phone
Manual attendance upload instructions,for_course,HRSINGAPORE Payroll Administration
Workshop participant,requests,manual attendance upload instructions
XIAO WEI BEAUTY SPA,fails_to_provide,certification after course completion
Customer,queries_legitimacy_of,XIAO WEI BEAUTY SPA offering SkillsFuture Singapore program with discounts
Appeal,made_for,Trainee
Trainee,provides,Physical attendance record as proof of attendance
Trainee,unable_to_use,Singpass e-attendance due to lack of smartphone
Trainee,appeals_for_attendance_count,despite inability to use Singpass e-attendance
Inability to use Singpass e-attendance,caused_by,non-working mobile phone
Trainee,provides,supporting documents
Company,claims_payment_made_for,Skills Development Levy YA2023
Company,requests_verification_and_update_of,payment status
Payment,status,credited
Customer,makes_payment_via,PayNow
Customer,receives_notice_at,old address
Customer,requests,Skills Development Levy mailers be sent to new company address
Learners,faced_issues_with,electronic attendance via Singpass
Learner 1,had,setup issues
Learner 2,lacked,Singpass and smartphone
Request,to_submit_attendance,manually for both cases
Reason for cancellation,due_to,course cancellations
Customer,expresses_disappointment_with,training provider
Customer,requests_cancellation_of,approved SkillsFuture Credit claims
Customer,seeks,return of credits
Customer,facing_issues_with,incorrect start date in Career future fund submission
Customer,switched_course_type_to,part-time at National Trades Union Congress
Customer,requests,rescheduling of Career Ignite appointment
Customer,unable_to_connect_for,Career Ignite appointment on scheduled date
Possible expired CCF,affecting,funding
GST and course fee amounts,not_meeting,GST threshold
Issue,related_to_uploading,"GST and course fee amounts for ""Real Leadership 2022"""
Customer,requests_solution_for,issue with uploading GST and course fee amounts
Certificate record,pertains_to,company-sponsored course attended in 2012
Customer,reports_missing,certificate record on MySkillsFuture's SkillsPassport
Customer's SkillsFuture Credits claim,approved_but_faces_issues_due_to,course postponement in December
Reason for withdrawal,due_to,complications at a Private Education Institution
Customer,inquires_about,withdrawing from a course after paying full fees
Customer,awaiting_clarification_from,SkillsFuture Singapore
Customer,completed,Advance certificate
Customer,has_query_about,exemption for an elective module
Customer,needs,certificate urgently to enroll in a Degree course
Technical issue,affects,creating an appeal claim for a trainee
Inquirer,inquires_on,resolution timeline
Technical issue,persists_for,two months
Inquiry,references,prior communication with SkillsFuture Singapore
Training provider,directs_customer_to,SkillsFuture Singapore for assistance
Customer,requests_cancellation_of,SkillsFuture Credit claim due to wrong course selection
Training provider,unable_to,cancel SkillsFuture Credit claim
Absentee Payroll payments,listed_under,various FTB references
Requester,requests_breakdown_of,received Absentee Payroll payments
Customer,seeks,further assistance
Customer,unable_to_attach,HAR file
Customer,unable_to_upload,brochure despite previous attempts and case reference
Employer,inquires_about,Absentee Payroll Funding
Employer,questions,CPF contributions during training
Training provider,reported_not_receiving,grant from SkillsFuture Singapore
Absentee Payroll rejections,across,various training grant submissions
Absentee Payroll rejections,impacting,payments for different numbers of participants
Absentee Payroll rejections,occurred_for,multiple dates in 2022 and 2023
Methodist Welfare Services,cannot_tally,amount on the SkillsFuture Enterprise Credit portal
Methodist Welfare Services,requests,breakdown of Absentee Payroll funding disbursement
Reminder,received_despite,payment
Customer,received_reminder_for,Skills Development Levy Notice of Assessment
Customer,requests,breakdown to ensure correct payment amount
Reason,due_to,SingPass or mobile phone errors and technical glitches
Appeal submitter,seeks_guidance_on,how to proceed
Appeal,submitted_for,learners unable to scan QR E-Attendance
Customer,exceeded,session start time
Customer,missed,course session
Customer,was_late_for,course session
Customer,disputes,Skills Development Levy underpayment notice for 2016 and 2017
Customer,lacks,payment records
Customer,reports_no_updates_since,last contact with the in-charge
Customer,requests,follow-up
Customer,attached,receipt
Customer,mentioned,possible late Notice of Objection submissions
Extension request,was_denied_for,Customer
Trainee,inquires_about,eligibility for funding based on PR status and age
Trainee,re-enrolled_as,company-sponsored in Training Provider Gateway
Trainee status,shows_as,not eligible for funding
SkillsFuture Singapore fund,received_but,disbursement date and status remain unupdated
Customer,requests_update_for,transactions related to Skills Development Group 99
Payment,has_been_disbursed_to,SEIKO Manufacturing (Singapore) Pte. Ltd.
Status,is_currently,pending payment
Request,to_update_status_for,Absentee Payroll
Participant,does_not_own,smartphone for financial reasons
Participant,unable_to_sign_in,using e-attendance QR for Course Run
Customer,inquires_qualification_for,Training Commitment Award with two courses taken
Customer,questions_reason_for,COC course not listed under qualifications in SkillsFuture account
Payment,pertains_to,pending courses grant funding for the year 2023
Requester,requests_to_appeal_for,payment of pending courses grant funding
Customer,received,final reminder for outstanding Skills Development Levy from 2016 to 2021
Customer,requests,yearly breakdown letter to make payment
Details,available_in,attached file
Vendor,provided,API URL and request payload for investigation
Training Provider Gateway course integration,status,failed
Skills Development Levy payment,for,Foreign Employee
Customer,inquires_about,rounding down the final figure when paying the Skills Development Levy
Customer,has_not_received,Training Commitment Award after completing course and receiving Full Qualification
Course mates,have_received,Training Commitment Award
Customer,requests,status update
Customer's foreign employees,do_not_work_in,Singapore
Customer,questions,receipt of Skills Development Levy reminder
Customer,received,acknowledgment
Customer,submitted,objection
Customer,inquired_about,if levy amount is rounded down for both local and foreign employees
Customer,requests_to_reopen,the case for document submission
Customer's case,was_closed_on,the same day of intended document submission
Attendance uploading,for_date,"November 14, 2023"
Requester,requests_appeal_for,permit to upload attendance
Attendance uploading,under,SkillsFuture Singapore e-attendance
Course run,mistakenly_deleted_from,Training Provider Gateway
Deletion of course run,occurs_after,course details were entered
Deletion of course run,occurs_before,course commencement
Appeal,requests_manual_entry_of,attendance for a course run
Candidate's identity,could_not_be_verified,when scanning QR code for attendance
Candidate,inquires_about,necessary documents to submit an appeal
Customer,inquires_about,permissibility of personal bank account transfer
Customer,unable_to_use,Corporate PayNow for Skills Development Levy payment
Requester,requests_refund_of,excess grant
Excess grant,to_be_refunded_to,SkillsFuture Singapore
Customer,did_not_receive,Skills Development Levy Notice of Assessment
Emailing,for_purpose_of,payment verification and processing
Customer,requests,Skills Development Levy Notice of Assessment to be emailed
Payments,not_for,Skillsfuture Enterprise Credit
Company,received,multiple payments from SkillsFuture Singapore Agency
Company,seeks_clarification_on,purpose of payments
Payment,made_via,Crimson Logic
Besi Singapore Pte Ltd,received,reminder letter
Besi Singapore Pte Ltd,reports_payment_of,Skills Development Levy
Customer,requests_breakdown_of,Absentee Payroll disbursement not found in the portal
Customer,seeks_details_for,transaction made on 8 November 2023
Customer,queries,reason for reminder for Skills Development Levy
Reminder,sent_despite,submission of objection and receiving acknowledgment
Company,was_inactive_in,2017
Employer,filed,Notice of Objection
Employer,frustrated_by,multiple reminders for Skills Development Levy
Employer,refuses_to_pay,until receiving an update from the officer in charge
Rejection reason,due_to,portal access issues preventing correct payroll declaration for two employees
Appeal,for,Absentee Payroll Grants rejection
Assistance,requested_for,Appeal
Payment,made_in,June via CPF-EZ Pay
Customer,reports_payment_of,outstanding Skills Development Levy
Customer,inquiring_about,receipt of payment by the overall in charge
Customer,received,reminder for unpaid Skills Development Levy
Request,follows,a reminder notice
Customer,reports_payment_of,arrears to Skills Future SG
Customer,requests_confirmation_and_update_of,their records
Customer,received_no_response_since,October
Customer,seeks_update_on,instalment payment request
Customer,paid_via,PayNow
Customer,queries,Skills Development Levy charges from 2016-2021
Company,reopened_in,2020 under a new name
Company,was_closed_during,2016-2019
Customer,received,reminder letter for an already paid Notice of Assessment
Customer,seeks_guidance_on,checking payment status
Funding status,affected_in,Training Provider Gateway
Appeal,filed_for,two trainees enrolled with incorrect sponsorship types
Enrollment,past_deadline,14-day
Customer,received_no_response_to,objection
Customer,seeks_clarification_after,receiving a last reminder with an upcoming due date
Customer,submitted_objection_to,Skills Development Levy
Customer,received_email_from,Overall in charge
Customer,requests_to_speak_with,Overall in charge directly
Customer,lacks,Corppass access to file an objection
Customer,previously_exempted,employees
Customer,requests,breakdown of the levy
Onsite technical support,failed_to_resolve,error with QR code scanning
Manual attendance,kept_as_alternative_to,SingPass recording
Trainee,unable_to_record_attendance_using,SingPass due to an error with QR code scanning
Customer,inquires_about,expiration of additional SkillsFuture Credit top-ups
Customer,seeks_guidance_on,finding eligible short courses
Customer,attended_course,later
Training provider,claims,one cancellation
Customer,missed_course_due_to,illness
Refund,not_shown_in,claim status
Customer,was_charged,twice
Employer,confirms,his mailing address
Employer,inquired_about,amount due and payment methods
Employer,received,last reminder for outstanding Skills Development Levy payment
Records,confirm,no missing uploads
Learners,reported_with_attendance,74.29%
Request,to_verify,attendance records
Sessions,updated_before,submission cut-off
Company,has_been,non-operational since 2020
Company,received_reminder_for,Skills Development Levy with no outstanding amount or fund details
Reason for request,due_to,recent takeover of finance
Reason for request,due_to,existing lapses in payment
Request,is_for,extension to pay Skills Development Levy
Company,due_to,temporary cessation of operations
Company,requests_waiver_of,Skills Development Levy
Dashboard records,for_date,9-Nov
Finance team,received,disbursement that doesn't match dashboard records
Finance team,requests_details_for,discrepancy in amounts
WPLN certifications,attained_in,2008
Customer,inquires_about,retrieving candidate reports for WPLN certifications
WPLN certifications,under,Workplace Skills Qualification program
Customer,claims_exemption_for,employees over 70
Exemption advice,provided_by,CPFB
Customer,questions,legitimacy and purpose of the Skills Development Levy
Customer,received,final reminder for Skills Development Levy
Customer,received,final reminder for Skills Development Levy payment
Customer,references,an appeal case number
Reason for request,due_to,resignation of the former HR
Request for records,purpose,to facilitate prompt payment
Requester,requests_records_of,previous declaration submission for Skills Development Levy
Skills Development Levy payments,for_period,January to December 2023
Customer,inquiring_about,outstanding Skills Development Levy payments
Customer,requests,receipt as proof of payment from SkillsFuture Singapore
Customer,requests,penalty waiver for Skills Development Levy arrears payment for the year 2023
Customer,seeks,understanding and assistance
Courses,from,SkillsFuture website
Customer,inquires_how_to_determine,if courses can use Additional SkillsFuture Credit (Mid-Career Support) for fee offset
Information,not_displayed_on,SkillsFuture website regarding Additional SkillsFuture Credit usage for fee offset
Payment,made_on,specific date
Requester,requests_confirmation_for,payment for Skills Development Levy 2023
Payment,status_query,processed successfully
Customer,paid_via,Paynow
Customer,received_reminder_for,Skills Development Levy payment for 2022
Customer,seeks_confirmation_on,receipt of their payment
Trainees,appeal_to_count,attendance accordingly
Physical attendance records,provided_as_proof_by,Trainees
Customer,is_a,Permanent Resident
Customer,seeks_assistance_on,submitting a claim for SkillsFuture Credits
Customer,seeks,clarification on status
Customer,submitted,Notice of Objection for an assessment
Customer,claims_payment_made_for,2022 Skills Development Levy
Customer,intends_to_make_payment_for,outstanding liabilities
Payment,not_updated_in,the system
Customer,requests_letter_for,outstanding liabilities for other years
Customer,inquires_reason_for,receiving Skills Development Levy Notice of Assessment reminders despite having paid
Customer,plans_to_provide,UEN number for further clarification
Resend request,for_purpose_of,payment clarification
Reminder letter,lacked,outstanding amount details
Customer,requests_resend_of,Skills Development Levy Notice of Assessment for YA2023
Customer,confirmed,her issue has been resolved
Customer,verified,her SkillsFuture Credits claim
Customer,inquires_about,any outstanding amount
Customer,requests_confirmation_on,payment receipt
Payment extension request,due_to,unawareness of the simultaneous payment requirement
Customer,requested,payment extension
Customer,submitted,objections
Customer,requests_deletion_of,incorrect SME declarations due to wrong turnover inputs
Customer,seeks_to_amend_and_resubmit,Organisation Registration
Current Fee Collection Status,is,Partial Payment
Desired Fee Collection Status,is,Full Payment
Fee Collection Status,is_locked,currently
Fee Collection Status update,unable_to_perform_for,participant in a course run
Issue,regards,declaration of Small and Medium Enterprises status
Reason,is_due_to,not owning smartphones
Individuals,request_consideration_for,their circumstances for attendance recording
Two individuals,unable_to_use,e-attendance QR
Notice of Objection,due_to,discrepancies in their calculations
Customer's company,made_payment_for,Skills Development Levy YA2023
Customer's company,seeks_to_file,Notice of Objection
Customer,has_paid,Skills Development Levy
Customer,seeks_confirmation_from,SkillsFuture Singapore on receipt of payment
Participant,requests_consideration_for,circumstances for attendance recording
Participant,unable_to_use,e-attendance QR due to lack of smartphone
Customer,cannot_identify,corresponding courses
Customer,received_amount,unidentified on SkillsFuture Singapore Portal
Customer,requests_details_of,courses related to the received amount
Customer,requested_cancellation_of,her appointment
Appointment,scheduled_for,"December 5, 2023"
Customer,inquires_about,SkillsFuture Enterprise Credit for a course at SUSS
Customer,seeks,company assistance with funding
Customer,accidentally_submitted,SkillsFuture Credit claim to the wrong Training Provider
Customer,requested_cancellation_by,SkillsFuture Singapore
Customer,inquiring_about_reception_of,Notice of Objection
Notice of Objection,lodged_for,Skills Development Levy YA2023
Notice of Objection,received_by,SkillsFuture Singapore
Confirmation of case reference number,is_unclear_in,payment
Payment,not_updated_in,records
Customer,paid,Skills Development Levy via bank transfer
Customer,received,payment reminder for Skills Development Levy
Customer,seeks_clarification_on,objection status due to conflicting information in reminders
SkillsFuture Singapore funding,intended_for,their Small and Medium Enterprises ID
POLWEL Co-operative Society Limited,requests_assistance_for,not receiving SkillsFuture Singapore funding
Customer,received,final reminder for Skills Development Levy 2023
Customer,seeks_information_on,making the payment mentioned in the reminder
Reason,due_to,pending work permit
Request,for,manual filing of E-Attendance
Course,is,food hygiene course
Candidate,unable_to_create,Singpass
Notice of Objection,cites_reason_as,non-liability due to resignations
Customer,inquires_reception_of,Notice of Objection for Skills Development Levy by SkillsFuture Singapore
Trainee,attended,make-up session
Customer,created,make-up session
Trainee,has,medical certificate
Customer,requests,manual attendance upload for trainee
Customer,unable_to,backdate course run
Customer,inquires_about,Skills Development Levy payment for YA2023
Customer,provides,attached receipts for review
Requester,requests_receipt_for,outstanding Skills Development Levy payment for the year 2023
Requester,requests_receipt_for,outstanding Skills Development Levy payment
Skills Development Levy,for,YA2023
Notice of Assessment,received_despite,full payment of Skills Development Levy
Customer,requests_resend_of,Skills Development Levy Notice of Assessment for YA2023 with a monthly breakdown
Customer,seeks,extension on the payment deadline
Employer,has_employees_as,chauffeurs and domestic servants
Customer,objects_to_receiving,Skills Development Levy Notice of Assessment
Customer,questions_applicability_of,Skills Development Levy
Reason,due_to,not owning smartphones or unable to download the Singpass app
Appeal,for_understanding,requested
Multiple trainees,unable_to_sign_in,using e-attendance QR
Customer,cannot_log_into,MySkillsFuture portal
Customer,intends_to_view,certificate
Customer,is_a,recent SIT graduate
Customer,receives_error_message,account is terminated
Recruitment assistance,for,their company
Customer,requests,recruitment assistance
Customer,reports,cheque for Skills Development Levy YA2023 not deducted from corporate bank account
Customer,seeks,status update
Cheque,sent_to,SkillsFuture SG
Customer's claim,rejected_by,the system
Customer,requests_callback_for,explanation
Customer's claim,submitted_twice_on,the same day
Customer,inquires_about,appeal process to claim SkillsFuture Credit
Course,status,paid for but will complete in 2024
Customer,is_appealing_for,assessment results
Customer,missed,assessment deadline
Assessment status,not_updated_despite,passing the cut-off date
Customer,reports,assessment status not updated in the training summary page
Customer,requests_status_check_for,both course runs
Processing error,prevents,moving to the next page
Inability to scan QR code,results_in,processing error
Trainee,unable_to,scan QR code for E Attendance
Breakdown of payment,for_purpose_of,proper recording of funding
Payment,received_from,Skillsfuture Singapore
Jurong Port Pte Ltd,requests,breakdown of a payment
SingPass e-attendance appeal,submitted_with,details in attached xlsx file
Trainee attendance,for,multiple 2023 courses
Attendance,not_captured,automatically
Customer,requests,manual upload of trainee attendance
Courses,under,National Council of Social Service
Customer,inquires_about_offering,Workplace Skills Qualification and SkillsFuture Credits courses
Customer,inquires_about_partnership_details_with,the Institute of Banking and Finance
Courses,specifically_for,sales and financial consultants
Inquirer,asks_reason_for,funding/grant not received for trainee LAU DUN WEN
Inquirer,requests_review_of,uploaded details
Mr. <PERSON>'s name,appears_incorrectly_on,Statement of Attainment
Mr. <PERSON>,completed,Workplace Safety and Health Management course
Mr. <PERSON>,requests_correction_assistance_for,name appearance on Statement of Attainment
e-attendance appeal,for_time_period,Nov-23
e-attendance appeal,has_supporting_documents,attached
Training Provider Gateway,submitted,e-attendance appeal for four students
Customer,asked_about,immediate employment start
Customer,asked_about,organizational registration timelines
Customer,inquired_about,downloading a certificate after completing a Supervisor course
RSBU PTE LTD,confirms_payment_of,outstanding Skills Development Levy
RSBU PTE LTD,seeks,confirmation or further steps for account reconciliation
Customer,requests_payment_extension,to view monthly breakdown and make payment
Customer,unable_to_access,Notice of Assessment for Skills Development Levy YA2023
Partial refund form,for,trainee who withdrew halfway through the course
Requester,requests,partial refund form
Reason,being_a_foreigner,Two learners
Two learners,unable_to_complete,electronic attendance
